Oid;SyncId;Code;Label1;Label2;Item;CreationDate;CreatedBy;LastModificationDate;ModifiedBy;Blocked;BlockedBy;BlockedDate;OptimisticLockField;MaxOptions;TotalQuantity;TotalVWAP;Validate;Type;ProductionTimeOfUnit;ProductionCostPerUnit;WarehouseProd;WarehouseStore;WarehouseDest;CostCalcMethod;BlockedFormula;TypeFormule;Changeable;BatchSubstitution;MethodOfValuation;Price;ResponsibilityCenter;IsQuarantineWarehouse;VisibleEverywherer;PML;DoNotLoadComponentPrice
61;;P35800;Formule pour le produit  STRUCTURE METALIQUE  MAXI M60  180;;61;2024-01-06 14:19:39;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
64;;PTR0800E;Formule pour le produit  PIED METAL TABLE DE REUNION    ECO   M 80;;64;2024-01-06 14:19:39;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
68;;P40000;Formule pour le produit  PIED METAL MEGA Z;;68;2024-01-06 14:19:40;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
71;;CJPG120;Formule pour le produit  CACHE JUPE GAMER   120;;71;2024-01-06 14:19:40;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
73;;P381680;Formule pour le produit  PIED METAL TRAPEZ     M 70 160/180 ;;73;2024-01-06 14:19:40;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
74;;P39060;Formule pour le produit  PIED METAL ECO SLIM      M 60 ;;74;2024-01-06 14:19:40;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
75;;TAB0002;Formule pour le produit  TABLE DE DECHARGE 50x50 M65 140;;75;2024-01-06 14:19:41;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
76;;P36060;Formule pour le produit  PIED METAL MAXI SLIM M 60;;76;2024-01-06 14:19:41;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
84;;PATLS5050;Formule pour le produit  PIED METAL ATLAS M 80/120;;84;2024-01-06 14:19:42;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
85;;CJPG140;Formule pour le produit  CACHE JUPE GAMER  140 ;;85;2024-01-06 14:19:42;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
87;;P31000;Formule pour le produit  PIED METAL ECO STAR ;;87;2024-01-06 14:19:42;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
94;;P35600;Formule pour le produit  STRUCTURE METALIQUE  MAXI M60  160;;94;2024-01-06 14:19:43;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
98;;P35400;Formule pour le produit  STRUCTURE METALIQUE  MAXI M60  140;;98;2024-01-06 14:19:43;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
101;;STABEC01;Formule pour le produit  SOCLE TABLETTE ECRITOIRE;;101;2024-01-06 14:19:44;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
103;;P35200;Formule pour le produit  STRUCTURE METALIQUE  MAXI M60  120;;103;2024-01-06 14:19:44;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
105;;PCF544;Formule pour le produit  PIECS DE FEXATION PLATAUX ;;105;2024-01-06 14:19:44;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
106;;PCLZR95;Formule pour le produit  PIECE DE FEXATION PIETEMENTS;;106;2024-01-06 14:19:44;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
158;;SDLZ004;Formule pour le produit  SOUS TRAITANCE DECOUPE LASER JUPE;;158;2024-01-06 14:19:51;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
159;;SDPF001;Formule pour le produit  SOUS TRAITANCE DECOUPE PIECE DE FEXATION PLATEAU ;;159;2024-01-06 14:19:51;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
237;;P36070;Formule pour le produit  PIED METAL MAXI SLIM M 70;;237;2024-01-07 15:34:16;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
238;;P36075;Formule pour le produit  PIED METAL MAXI SLIM M 75;;238;2024-01-07 15:36:44;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
239;;PS34750;Formule pour le produit  PIED METAL  ECO M 75    SOUDEE            ;;239;2024-01-07 15:55:09;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
242;;PS35000;Formule pour le produit  PIED METAL MAXI  M60           SOUDEE            ;;242;2024-01-07 16:16:32;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
243;;PS35075;Formule pour le produit  PIED METAL MAXI M 75           SOUDEE            ;;243;2024-01-07 16:19:57;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
244;;CJPZ140;Formule pour le produit  CACHE JUPE MEGA Z / Z ONE 140;;244;2024-01-07 16:33:46;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
245;;CJPZ120;Formule pour le produit  CACHE JUPE MEGA Z / Z ONE 120;;245;2024-01-07 16:33:53;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
246;;CJPZ160;Formule pour le produit  CACHE JUPE MEGA Z / Z ONE 160;;246;2024-01-07 16:33:56;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
250;;P34100;Formule pour le produit   PIED METAL ECO BASE  M 60  SOUDEE;;250;2024-01-12 17:12:17;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
251;;PTR1000E;Formule pour le produit  PIED METAL TABLE DE REUNION    ECO   M 100;;251;2024-01-12 17:22:14;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
252;;PTR1200E;Formule pour le produit  PIED METAL TABLE DE REUNION    ECO   M 120;;252;2024-01-12 17:26:09;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
255;;PTR1200;Formule pour le produit  PIED METAL TABLE DE REUNION     MAXI   M 120;;255;2024-01-12 17:47:41;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
256;;P37100;Formule pour le produit  PIED METAL STATION MAXI 2  M 100;;256;2024-01-12 17:59:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
257;;PTR1000;Formule pour le produit  PIED METAL TABLE DE REUNION     MAXI   M 100;;257;2024-01-12 18:02:29;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
241;;P34750;Formule pour le produit  PIED METAL ECO  M75;;239;2024-01-07 16:09:45;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
240;;P35750;Formule pour le produit  PIED METAL MAXI   M75;;243;2024-01-07 16:06:19;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
65;7974dc8f-9b2e-413d-9919-deb452b63ff7;PS34000;Formule pour le produit  PIED METAL  ECO M 60    SOUDEE            ;;65;2024-01-06 14:19:39;Admin;2025-11-04 14:44:42.595599;admin;f;;;1;0;23.25000000;1740.39270500;t;0;0.0000;0.0000;;;;0;0;0;f;f;0;0.00000000;;f;f;0.00000000;f
88;f7583d11-d22b-4cac-96e2-fb6d76f8baf4;P37120;Formule pour le produit  PIED METAL STATION MAXI 2  M 120;;88;2024-01-06 14:19:42;Admin;2025-11-17 16:14:56.613169;admin;f;;;1;0;38.30000000;3037.43465500;t;0;0.0000;0.0000;;;;0;0;0;f;f;0;0.00000000;;f;f;0.00000000;f
258;;P37080;Formule pour le produit  PIED METAL STATION MAXI 2  M 80;;258;2024-01-12 18:04:31;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
265;;CJTW1800;Formule pour le produit  CACHES JUPES TWIZI 180;;265;2024-01-12 19:03:57;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
266;;STR80240;Formule pour le produit  STRUCTURE TABLE DE REUNION MAXI M 80 PLAT/240 ;;266;2024-01-12 20:01:22;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
267;;STR80200;Formule pour le produit  STRUCTURE TABLE DE REUNION MAXI M 80 PLAT/200;;267;2024-01-12 20:05:17;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
268;;STR100240;Formule pour le produit  STRUCTURE TABLE DE REUNION MAXI M 100 PLAT/240 ;;268;2024-01-12 20:07:41;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
269;;STR100200;Formule pour le produit  STRUCTURE TABLE DE REUNION MAXI M 100 PLAT/200;;269;2024-01-12 20:09:53;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
270;;STR120200;Formule pour le produit  STRUCTURE TABLE DE REUNION MAXI M 120 PLAT/200;;270;2024-01-12 20:13:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
271;;STR120240;Formule pour le produit  STRUCTURE TABLE DE REUNION MAXI M 120 PLAT/240 ;;271;2024-01-12 20:13:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
272;;STR80280;Formule pour le produit  STRUCTURE TABLE DE REUNION MAXI M 80 PLAT/280;;272;2024-01-12 20:18:27;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
273;;PSTR800;Formule pour le produit  PIED METAL TABLE DE REUNION    ECO   M 80    SOUDEE;;273;2024-02-08 12:07:08;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
278;;CJPZ180;Formule pour le produit  CACHE JUPE MEGA Z / Z ONE 180;;278;2025-01-02 13:00:41;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
280;;P41B60;Formule pour le produit   PIED METAL TABLE BASSE  Z ONE;;280;2025-01-02 13:06:04;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
282;;PG42000;Formule pour le produit   PIED METAL GAMER   ;;282;2025-01-02 13:34:12;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
284;;P32000;Formule pour le produit   PIED METAL MAXI  STAR   ;;284;2025-01-02 14:00:05;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
285;;CJP0158N;Formule pour le produit  CACHES JUPES P/PLAT 180;;285;2025-01-02 14:06:28;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
287;;CJP0118N;Formule pour le produit  CACHES JUPES P/PLAT 140;;287;2025-01-02 14:10:03;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
288;;CJP0138N;Formule pour le produit  CACHES JUPES P/PLAT 160;;288;2025-01-02 14:10:56;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
297;;P34000CJB;Formule pour le produit  PIED METAL ECO CJ BOIS  M 60 ;;297;2025-01-03 15:47:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
298;;PTR0600;Formule pour le produit   PIED METAL TABLE DE REUNION     MAXI   M 60;;298;2025-01-03 16:08:37;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
299;;P34001;Formule pour le produit   PIED METAL ECO M 41;;299;2025-01-03 16:17:02;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
327;;IMP003;Formule pour le produit  CHAISE IMPERIAL LUXE SKAI EPOXY ;;327;2025-01-07 20:22:23;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
328;;IMP002;Formule pour le produit  CHAISE IMPERIAL LUXE TISSU CHROMEE;;328;2025-01-07 20:34:25;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
329;;IMP004;Formule pour le produit  CHAISE IMPERIAL LUXE SKAI CHROMEE;;329;2025-01-07 20:58:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
332;;SCL0015;Formule pour le produit  SOCLE  CHAISE IMPERIAL  CHROMEE;;332;2025-01-08 11:12:39;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
350;;ECO VIS;Formule pour le produit  ECO VISSAGE ;;350;2025-01-10 21:04:49;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
351;;ECO COP;Formule pour le produit  ECO COUPE ;;351;2025-01-10 21:09:29;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
359;;P34R00;Formule pour le produit  PIED METAL ECO RENFORT  M 60;;359;2025-01-16 14:37:32;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
361;;SBPB1600;Formule pour le produit  BANC PUBLIQUE 1600;;361;2025-01-17 13:07:22;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
363;;TL6040180X80;Formule pour le produit  TABLE DE LECTURE 60X40 180X80;;363;2025-01-17 15:03:09;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
364;;TL120;"Formule pour le produit  TABLE DE LECTURE 60 X 30 70 X 120
";;364;2025-01-17 16:19:36;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
365;;TL40160;Formule pour le produit  TABLE DE LECTURE T 40 X 40 160;;365;2025-01-17 16:29:55;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
371;;TBU55X55;Formule pour le produit   PIED METAL TABLE   BASSE  U  SOUDEE 60 X 30 ;;371;2025-01-17 19:30:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
372;;RNFZ120;"Formule pour le produit  RENFORT MEGA Z 120
";;372;2025-01-21 10:34:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
374;;RNFZ140;"Formule pour le produit  RENFORT MEGA Z 140
";;374;2025-01-21 11:03:54;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
375;;RNFZ160;"Formule pour le produit  RENFORT MEGA Z 160
";;375;2025-01-21 11:04:30;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
376;;RNFZ180;"Formule pour le produit  RENFORT MEGA Z 180
";;376;2025-01-21 11:04:34;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
377;;KIT006;Formule pour le produit   KIT CHAISE IMPERIAL  REMBOURET  SKAI;;377;2025-01-22 13:19:50;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
378;;STBT30;"Formule pour le produit  SUPPORT TABLE BASSE 30*30 
";;378;2025-01-22 17:18:57;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
379;;SBU;Formule pour le produit  STRUCTURE BUR FORME UXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;;379;2025-01-22 17:20:41;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
380;;SMC6040;Formule pour le produit  STRUCTURE METALIQUE ECO 60 X 40 180;;380;2025-01-22 17:24:08;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
381;;TMLRD21;Formule pour le produit  TABLE METALLIQUE LOURD 2 X 1 ;;381;2025-01-22 17:27:15;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
383;;STR30M120;Formule pour le produit  STRUCTURE TABLE DE REUNION M120 30 X 30;;383;2025-01-22 19:19:48;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
386;;PMZ1400;Formule pour le produit  STRUCTURE MEGA Z 140;;386;2025-01-27 14:07:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
387;;PMZ1600;Formule pour le produit  STRUCTURE MEGA Z 160;;387;2025-01-27 14:08:45;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
388;;PMZ1800;Formule pour le produit  STRUCTURE MEGA Z 180;;388;2025-01-27 14:10:25;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
391;;P37140;Formule pour le produit   PIED METAL STATION MAXI 2  M 140;;391;2025-02-03 17:42:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
260;3403af3b-e157-4bcc-a290-7da51fb825ef;PTRE1000;Formule pour le produit  PIED METAL EXTANTION  T REUNION MAXI/ECO M 100;;260;2024-01-12 18:18:36;Admin;2025-11-12 13:36:51.596115;MASSY;f;;;1;0;27.17000000;1536.26970300;t;0;0.0000;0.0000;;;;0;0;0;f;f;0;0.00000000;;f;f;0.00000000;f
283;a00f3bd6-3b45-44f2-ae3b-8b6b99617846;P60600;Formule pour le produit   PIED METAL TABLE BASS ECO  SOUDEE ;;283;2025-01-02 13:54:49;Admin;2025-11-19 16:04:38.045752;admin;f;;;1;0;27.94700000;1284.70914510;t;0;0.0000;0.0000;;;;0;0;0;f;f;0;0.00000000;;f;f;0.00000000;f
330;d44a9f54-a969-4bdb-bd24-b25b6230e5eb;SCL0014;Formule pour le produit  SOCLE  CHAISE IMPERIAL EPOXY;;330;2025-01-08 10:47:38;Admin;2026-02-17 15:08:53.031046;MASSY;f;;;1;0;0.00000000;297.34306650;t;0;0.0000;0.0000;;;;0;0;0;f;f;0;0.00000000;;f;f;0.00000000;f
259;72b3a0b3-447e-4f9b-ae55-55e53514a221;PTRE800;Formule pour le produit  PIED METAL EXTANTION  T REUNION MAXI/ECO M 80;;259;2024-01-12 18:10:27;Admin;2026-06-01 15:35:24.506469;MASSY;f;;;2;0;26.90000000;1095.08239000;t;0;0.0000;0.0000;;;;0;0;0;f;f;0;0.00000000;;f;f;0.00000000;f
392;;CJADS1600;Formule pour le produit   CACHES JUPES ADIDAS 160;;392;2025-02-03 20:06:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
394;;ECOOOOO;Formule pour le produit  ECO XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;;394;2025-02-08 14:17:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
396;;P3400B;Formule pour le produit   PIED METAL ECO M 60   BLANC ;;396;2025-08-03 14:02:19;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
397;;P3400N;Formule pour le produit  PIED METAL ECO M 60  NOIRE;;397;2025-08-03 14:03:13;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
399;;TL16080;Formule pour le produit  TABLE DE LECTURE  PLAT 160/80;;399;2025-08-03 15:31:10;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
402;;P41120;Formule pour le produit  STRUCTURE METALIQUE  Z ONE 120;;402;2025-08-05 15:39:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
403;;P41140;Formule pour le produit  STRUCTURE METALIQUE  Z ONE 140;;403;2025-08-05 15:39:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
404;;P41160;Formule pour le produit  STRUCTURE METALIQUE  Z ONE 160;;404;2025-08-05 15:39:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
405;;P41180;Formule pour le produit  STRUCTURE METALIQUE  Z ONE 180;;405;2025-08-05 15:39:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
406;;RFRT180;Formule pour le produit  RENFORT ECO MAXI 180;;406;2025-08-12 14:15:15;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
407;;STG120;Formule pour le produit   STRUCTURE METALIQUE GAMER 120;;407;2025-08-13 13:59:58;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
408;;STG140;Formule pour le produit  STRUCTURE METALIQUE GAMER 140;;408;2025-08-13 14:05:59;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
410;;STG160;Formule pour le produit  STRUCTURE METALIQUE GAMER 160;;410;2025-08-13 14:44:45;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
411;;CJP0168;Formule pour le produit  CACHES JUPES P/PLAT S 200;;411;2025-08-14 09:41:23;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
413;;TEC4100;Formule pour le produit  TABLETTE ECRITOIRE ;;413;2025-08-23 15:22:13;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
414;;SCL0016;Formule pour le produit  SOCLE  CHAISE IMPERIAL EPOXY VT;;414;2025-08-23 15:26:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
416;;TL5090180;Formule pour le produit  TABLE DE LECTURE 50 X 50  90 X 180;;416;2025-08-23 16:00:25;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
418;;RNFZ1595;"Formule pour le produit  RENFORT  Z ONE 180
";;418;2025-08-24 11:08:01;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
419;;RNFZ1395;"Formule pour le produit  RENFORT Z  ONE 160
";;419;2025-08-24 11:08:01;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
420;;PH35;Formule pour le produit  PIED METAL MAXI  H;;420;2025-08-25 13:47:49;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
421;;PS34001;Formule pour le produit   PIED METAL  ECO M 60    SOUDEE       80 X 40     ;;421;2025-08-25 14:02:26;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
424;;TUM6040;Formule pour le produit  TABLE U MODERNE 60X40 90 X 80;;424;2025-08-25 15:10:24;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
425;;TEX6040;Formule pour le produit   TABLE EXTERIEUR AVEC BANC  60X40 160X80;;425;2025-08-25 15:56:37;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
428;;TA50PLTMLM250150;Formule pour le produit  TABLE D'ARCHIVE AVEC PLAT 50x50 M 150 X 250;;428;2025-08-25 16:34:28;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
429;;TRALS5050;Formule pour le produit   TABLE DE REUNION ATLAS AVEC P CENTRAL 50x50 M 150 X 260;;429;2025-08-25 17:42:52;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
431;;TRDMLM150;Formule pour le produit  TABLE ROND PIED METAL PLT MLM 150 BAROK ;;431;2025-08-26 13:39:45;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
432;;SIMPTRP;Formule pour le produit  SOCLE  IMPERIAL TRIPLETTE LUXE  EPOXY ;;432;2025-08-26 14:36:04;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
433;;STMXHG160;Formule pour le produit  STRUCTURE METALIQUE MAXI H GAMER 160;;433;2025-08-26 15:39:34;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
435;;STMXHG140;Formule pour le produit  STRUCTURE METALIQUE MAXI H GAMER 140;;435;2025-08-26 15:42:11;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
436;;STMXHG120;Formule pour le produit  STRUCTURE METALIQUE MAXI H GAMER 120;;436;2025-08-26 15:43:07;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
439;;SUPRET;Formule pour le produit   SUPPORT RETOUR ;;439;2025-09-03 17:24:40;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
443;;P35001;Formule pour le produit  PIED METAL MAXI 4x2  M60;;443;2025-09-12 12:12:15;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
449;;PSMLAB68;Formule pour le produit  PIED METAL LABO  M 68    SOUDEE            ;;449;2025-09-20 12:19:47;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
450;;PSLAB88;Formule pour le produit  PIED METAL LABO  M 88    SOUDEE            ;;450;2025-09-20 12:27:58;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
452;;CJP048;Formule pour le produit  CACHES JUPES P/PLAT 80;;452;2025-09-20 13:02:30;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
453;;PSLAB 4030;Formule pour le produit   PIED METAL LABO  M 55    SOUDEE            ;;453;2025-09-20 15:00:19;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
454;;PSLAB4030C;Formule pour le produit  PIED METAL LABO  M 55    SOUDEE            ;;454;2025-09-20 15:08:57;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
455;;PHMAXIRFT;Formule pour le produit  PIED METAL MAXI  H echantion ;;455;2025-09-28 14:46:27;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
456;;STRTSHB;Formule pour le produit   STRUCTURE METALIQUE TABLE SCOLAIRE HB;;456;2025-09-28 14:57:48;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
457;;P3845;"Formule pour le produit  PIED METAL TRAPEZ     M 45 ROTEUR
";;457;2025-09-28 16:32:36;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
